Month,Unit_price,Sales_volumn,Revenue,Cost,Promotion_expense,Profit,Version,Unit_cost,ROI,Profit_rate,Target
9,231.022793348064,8599.0,1986565.0,513463.73,297984.75,1175116.52,1.0,59.7120281428073,1.448171447680819,0.5915318753728169,22031.0
10,228.190640461168,22031.0,5027268.0,1296847.55,754090.2,2976330.25,1.0,58.864670237392765,1.4512045770282398,0.5920373152972946,57819.0
11,235.609903318978,57819.0,13622729.0,3466877.14,2043409.35,8112442.51,1.0,59.960863038101664,1.47223606698533,0.5955078831855203,34354.0
12,232.228445013681,34354.0,7977976.0,2038590.83,1196696.4,4742688.77,1.0,59.340712289689705,1.4659251042758263,0.5944726795367646,20282.0
1,101.821270091707,20282.0,2065139.0,1170602.1,309770.85,584766.05,1.0,57.716305098116564,0.39501265542578307,0.2831606250233035,51821.0
2,103.00466992146,51821.0,5337805.0,3035617.53,800670.75,1501516.72,1.0,58.57890681383994,0.3913983023194493,0.2812985337606001,44919.0
3,98.9400031167212,44919.0,4444286.0,2567244.52,666642.9,1210398.58,1.0,57.15275317794252,0.3742859360268021,0.2723493897557448,38706.0
4,97.0887200950757,38706.0,3757916.0,2150703.62,563687.4,1043524.98,1.0,55.56512220327598,0.38444165645670314,0.277687148941062,42304.0
5,92.9039570726172,42304.0,3930209.0,2267454.91,589531.35,1073222.74,1.0,53.59906651853253,0.37564854792126295,0.27307014461571893,57694.0
6,96.8166013796929,57694.0,5585737.0,3158599.92,837860.55,1589276.53,1.0,54.7474593545256,0.39767102463045256,0.28452405295845473,43168.0
7,95.1294245737583,43168.0,4106547.0,2381064.21,615982.05,1109500.74,1.0,55.15808492401779,0.37019806961538193,0.2701785076367079,44017.0
8,96.7845150737215,44017.0,4260164.0,2416149.64,639024.6,1204989.76,1.0,54.89128382215962,0.39440950510239964,0.2828505569269164,39576.0
9,96.2541944612897,39576.0,3809356.0,2107629.01,571403.4,1130323.59,1.0,53.255230695370926,0.4219148621647322,0.2967230130237237,30128.0
10,94.1704062665959,30128.0,2837166.0,1619314.91,425574.9,792276.19,1.0,53.747839551248006,0.3874419962022305,0.2792491486222519,71379.0
11,103.61508286751,71379.0,7395941.0,4106292.66,1109391.15,2180257.19,1.0,57.52802168705082,0.41801943319873136,0.29479104687287255,54844.0
12,92.4758770330392,54844.0,5071747.0,2899932.62,760762.05,1411052.33,1.0,52.87602326599081,0.38546026292872987,0.2782182017360093,26413.0
1,117.988414795745,26413.0,3116428.0,1460989.75,467464.2,1187974.05,1.0,55.31328323174195,0.6160240694365556,0.38119733553927765,11393.0
2,123.917011366629,11393.0,1411786.5105,642447.74,211767.976575,557570.793925,2.0,56.389690160624944,0.6527283250659383,0.3949398792084577,24579.0
3,122.827366288295,24579.0,3018973.836,1385720.01,452846.0754,1180407.7506,2.0,56.37820944708898,0.6420262834029103,0.3909963499928788,27689.0
4,113.312249629817,27689.0,3137502.88,1423954.76,470625.432,1242922.688,2.0,51.42673119289248,0.6560412133771533,0.3961502938923199,31195.0
5,111.675996906556,31195.0,3483732.7235,1555116.23,522559.908525,1406056.584975,2.0,49.851457925949674,0.6767448299104011,0.4036063316483068,26911.0
6,121.480301846828,26911.0,3269156.403,1528719.08,490373.46045,1250063.86255,2.0,56.806476162164174,0.6191216289033464,0.38238117374955094,16692.0
7,121.699091750539,16692.0,2031401.2395,921020.98,304710.185925,805670.073575,2.0,55.17738916846393,0.6572975347061523,0.39660804468806177,19901.0
8,123.881804718356,19901.0,2465371.7957,1118475.75,369805.769355,977090.276345,2.0,56.201987337319736,0.6565224815587692,0.3963257298753886,18148.0
9,122.920877854309,18148.0,2230768.0913,1008723.07,334615.213695,887429.807605,2.0,55.583153515538896,0.6606152883278413,0.3978135652316249,28545.0
10,113.446989938693,28545.0,3238344.3278,1388997.89,485751.64917,1363594.78863,2.0,48.65993659134699,0.7273477123955976,0.4210777640055254,24687.0
11,127.800320006481,24687.0,3155006.5,1393609.69,473250.975,1288145.835,2.0,56.45115607404707,0.6900064151279335,0.40828626977472154,9350.0
12,127.127941176471,9350.0,1188646.25,522808.77,178296.9375,487540.5425,2.0,55.915376470588235,0.6953880667131781,0.4101645401228498,13776.0
1,135.808146051103,13776.0,1870893.02,759679.02,280633.953,830580.047,2.0,55.14510888501742,0.7983943952989616,0.4439484450051559,8528.0
2,136.545322467167,8528.0,1164458.51,475573.01,174668.7765,514216.7235,3.0,55.76606590056285,0.790808487205705,0.4415929971605429,11503.0
3,136.010435538555,11503.0,1564528.04,655785.07,234679.206,674063.764,3.0,57.009916543510386,0.756980130666129,0.43084160000098176,22991.0
4,115.562514897134,22991.0,2656897.78,1089322.59,398534.667,1169040.523,3.0,47.38039189247967,0.7857208865299098,0.4400020700081281,33190.0
5,112.427550467008,33190.0,3731470.4,1570674.94,559720.56,1601074.9,3.0,47.32374028321784,0.7515388105166387,0.4290734558687642,67626.0
6,71.8514691095141,67626.0,4859027.45,2998989.64,728854.1175,1131183.6925,3.0,44.346695649602225,0.30344181947652343,0.2328004326256687,133605.0
7,64.0012286965308,133605.0,8550884.16,5481305.89999999,1282632.624,1786945.63600001,3.0,41.026203360652595,0.2641871491971018,0.2089778790781806,71023.0
8,65.3671524118947,71023.0,4642571.26575,2944223.03,696385.6898625,1001962.5458875,3.0,41.454501077115864,0.2752184107072464,0.2158206064125188,54675.0
9,69.4983279378144,54675.0,3799821.08,2298533.51,569973.162,931314.408,3.0,42.039936168267026,0.32466872644596734,0.24509427901800052,27897.0
10,80.3993615800982,27897.0,2242900.99,1208093.07,336435.1485,698372.7715,3.0,43.305483385310254,0.4521592827732464,0.3113703077459518,21755.0
11,96.2487170885162,21755.0,2093890.84026067,1020205.53,314083.6260391,759601.68422157,3.0,46.895220868765804,0.5692931556728552,0.36277043178000945,20117.0
12,95.3166836281394,20117.0,1917485.72454728,937704.78,287622.858682092,692158.085865188,3.0,46.61255555003231,0.5648759270701202,0.36097170216409674,14024.0
1,84.1427901119003,14024.0,1180018.48852929,621549.99,177002.773279393,381465.725249897,3.0,44.32044994295494,0.47769633115204935,0.32327097325850784,12402.0
2,118.208484258545,12402.0,1466021.62177448,551943.57,219903.243266172,694174.808508308,3.0,44.50440009675858,0.8993686267496726,0.4735092567516674,17984.0
3,159.657110209075,17984.0,2871273.47,801989.41,430691.0205,1638593.0395,3.0,44.594606872775806,1.32929265278865,0.570685118161176,9295.0
4,118.543355567509,9295.0,1101860.49,433298.87,165279.0735,503282.5465,3.0,46.616338891877355,0.8407970122607766,0.4567570496152376,8994.0
5,101.750332443851,8994.0,915142.49,412331.2,137271.3735,365539.9165,3.0,45.84514120524794,0.6650986260347269,0.399434973782061,10746.0
6,128.090216694261,10746.0,1376457.46859653,488479.05,206468.620289479,681509.798307051,3.0,45.45682579564489,0.9806634764645941,0.4951186751901134,6695.0
7,106.764837627782,6695.0,714790.587918,308261.34,107218.5881877,299310.6597303,3.0,46.043516056758776,0.7203973993060897,0.41873894926640615,6891.0
8,103.935532510521,6891.0,716219.75453,309172.85,107432.9631795,299613.9413505,3.0,44.86618052532288,0.7191784940874252,0.41832683258941045,12966.0
9,81.9154403825389,12966.0,1062115.6,590442.22,159317.34,312356.04,3.0,45.53773098873978,0.41660827905948944,0.294088553072754,6470.0
10,102.447979907264,6470.0,662838.43,278073.88,99425.7645,285338.7855,3.0,42.97896136012365,0.7558650442649623,0.4304801480807321,11503.0
11,110.271329140224,11503.0,1268451.0991,532381.26,190267.664865,545802.174235,3.0,46.2819490567678,0.7552798536813196,0.43029027656033514,5026.0
12,115.031113012336,5026.0,578146.374,235214.23,86721.9561,256210.1879,3.0,46.79948865897334,0.7958415330807698,0.44315799496824315,7175.0
1,100.500448780488,7175.0,721090.72,328578.17,108163.608,284348.942,4.0,45.7948668989547,0.6510687924158243,0.39433171737392486,4118.0
2,98.3379752306945,4118.0,404955.782,193252.64,60743.3673,150959.7747,4.0,46.928761534725595,0.59433916424402,0.37278088475348653,5343.0
3,108.840844095078,5343.0,581536.63,249002.24,87230.4945,245303.8955,4.0,46.60345124461912,0.7295657749230838,0.42182019643371393,8403.0
4,108.017190170177,8403.0,907668.449,424375.93,136150.26735,347142.25165,4.0,50.502907295013685,0.6193149460117735,0.382454906339925,6547.0
5,109.087159462349,6547.0,714193.633,308424.64,107129.04495,298639.94805,4.0,47.10930808003666,0.7186555164008057,0.4181498325538839,18785.0
6,96.740273888741,18785.0,1817266.045,890145.640000001,272589.90675,654530.498249999,4.0,47.38598030343364,0.5629229278140657,0.36017318435617335,17396.0
7,90.2181141929179,17396.0,1569434.3145,840134.13,235415.147175,493885.037325,4.0,48.294672913313406,0.4591933143428083,0.3146898425515469,21540.0
8,89.4258207520891,21540.0,1926232.179,1021780.67,288934.82685,615516.682149999,4.0,47.43642850510678,0.4696035742533374,0.31954438767061993,11240.0
9,98.9156559608541,11240.0,1111811.973,562026.78,166771.79595,383013.39705,4.0,50.00238256227758,0.5255408142788098,0.3444947584226097,9838.0
10,91.5438767025818,9838.0,900608.659,476582.36,135091.29885,288935.00015,4.0,48.443012807481196,0.47236789743933566,0.3208219211114647,30039.0
11,88.9964331036319,30039.0,2673363.854,1481744.67,401004.5781,790614.6059,4.0,49.32736342754419,0.41992559906629023,0.2957377480499144,10067.0
12,96.0374013112149,10067.0,966808.519,484028.43,145021.27785,337758.81115,4.0,48.08070229462601,0.5369350099603579,0.34935440111693933,4786.0
1,114.351023819473,4786.0,547284.0,226097.57,82092.6,239093.83,4.0,47.241447973255326,0.7757996629159196,0.4368734148997595,2817.0
2,111.376102236422,2817.0,313746.48,128914.07,47061.972,137770.438,4.0,45.7628931487398,0.7828931508756174,0.4391138922100417,6496.0
3,98.9585899014778,6496.0,642835.0,288844.18,96425.25,257565.57,4.0,44.46492918719212,0.6685336285310777,0.4006713542355348,1967.0
4,116.921199796645,1967.0,229984.0,90475.07,34497.6,105011.33,4.0,45.996476868327406,0.8402743575855425,0.4566027636705162,3360.0
5,89.2824404761905,3360.0,299989.0,144978.52,44998.35,110012.13,4.0,43.14836904761904,0.5790817061045379,0.36672054642003543,3654.0
6,116.82074438971,3654.0,426863.0,161661.84,64029.45,201171.71,4.0,44.242430213464694,0.8913578809355027,0.4712793331818405,2307.0
7,112.063792804508,2307.0,258531.17,101087.33,38779.6755,118664.1645,4.0,43.81765496315561,0.8484071284417396,0.45899364668484655,3881.2
8,110.078972998042,3881.2,427238.51,172731.48,64085.7765,190421.2535,4.0,44.504658353086676,0.8040852103191221,0.4457024566909944,4100.0
9,112.668307317073,4100.0,461940.06,185577.94,69291.009,207071.111,4.0,45.26291219512195,0.8124611170268529,0.4482640258565148,7903.0
10,99.2267037833734,7903.0,784188.64,341799.54,117628.296,324760.804,4.0,43.24934075667468,0.706880990989845,0.4141360731774946,10279.0
11,73.1317949216849,10279.0,751721.719999999,433838.5,112758.258,205124.961999999,4.0,42.206294386613486,0.3752765800341593,0.27287353357303457,8741.0
12,87.0867440796248,8741.0,761225.23,365551.4,114183.7845,281490.0455,4.0,41.820318041414026,0.5867613103954021,0.36978549108258013,3998.0
1,110.059022011005,3998.0,440015.97,180542.32,66002.3955,193471.2545,4.0,45.15815907953977,0.7847308919505112,0.4396914377903148,7457.0
2,86.8203459836395,7457.0,647419.32,309394.18,97112.898,240912.242,4.0,41.49043583210406,0.5926397227454918,0.3721116045780037,7176.0
3,110.935351170569,7176.0,796072.08,297393.47,119410.812,379267.798,4.0,41.44279124860646,0.9099421824078093,0.47642394140992866,5264.0
4,106.344006458967,5264.0,559794.85,217256.62,83969.2275,258569.0025,4.0,41.27215425531915,0.8583891609766324,0.4618995735669951,3120.0
5,110.665756410256,3120.0,345277.16,133729.79,51791.574,159755.796,4.0,42.862112179487184,0.8611180543066728,0.46268857169701005,3620.0
6,95.7177071270718,3620.0,346498.0998,158197.14,51974.71497,136326.24483,4.0,43.70086740331492,0.6486417738924142,0.3934400936359767,2407.0
7,92.4087660988783,2407.0,222427.9,119451.71,33364.185,69612.005,4.0,49.62680099709182,0.45552856265377367,0.3129643583381402,2368.0
8,99.6759079391892,2368.0,236032.55,130987.47,35404.8825,69640.1975,4.0,55.31565456081081,0.4185300373104587,0.2950448889358692,3459.0
9,91.4877710320902,3459.0,316456.2,164136.12,47468.43,104851.65,4.0,47.451899392888116,0.49550753988985585,0.331330686521547,2572.0
10,98.9705598755832,2572.0,254552.28,128578.71,38182.842,87790.728,4.0,49.99172239502333,0.5264446567395823,0.3448828979257228,3046.0
11,102.954330269206,3046.0,313598.89,137565.61,47039.8335,128993.4465,4.0,45.16270847012475,0.69875212807579,0.411332599104544,
